id,company_name,company_type,hq_city,hq_province,regions_served,primary_services,client_types,evidence_links,summary,fit_rationale,drone_lidar_fit_signals,contacts,public_email,public_phone,contact_form_url,outreach_angle,fit_score,confidence_score,pipeline_stage,notes,last_verified_date
sc3d-mattamy-homes,Mattamy Homes,Builder/Developer,Toronto,Ontario,Ontario,Model home tours; Construction progress capture; Pre-sale marketing; Site documentation,Home builders; Developers; Sales centres,https://mattamyhomes.com/,"Builder/Developer account target where photorealistic 3D spaces could support model home tours, construction progress capture, pre-sale marketing.","SC3D fit is based on a visible, valuable or complex space that can benefit from hosted Gaussian-splat digital twins, remote walkthroughs, web embeds, annotations, measurement and repeat capture. Public category signals include model homes, progress updates, pre-sale visualization.",Model homes; Progress updates; Pre-sale visualization,NOT CONFIRMED | NOT CONFIRMED | Website/contact form | https://mattamyhomes.com/,NOT CONFIRMED,NOT CONFIRMED,NOT CONFIRMED,"Offer digital twins for model homes, sales centres and staged progress updates that help buyers and stakeholders understand the space.",86,70,New,"Initial SplatCap3D lead database. Qualification is based on spatial/digital-twin fit, not drone survey fit. Verify contacts before outreach.",2026-07-21
sc3d-tridel,Tridel,Builder/Developer,Toronto,Ontario,Ontario,Model home tours; Construction progress capture; Pre-sale marketing; Site documentation,Home builders; Developers; Sales centres,https://www.tridel.com/,"Builder/Developer account target where photorealistic 3D spaces could support model home tours, construction progress capture, pre-sale marketing.","SC3D fit is based on a visible, valuable or complex space that can benefit from hosted Gaussian-splat digital twins, remote walkthroughs, web embeds, annotations, measurement and repeat capture. Public category signals include model homes, progress updates, pre-sale visualization.",Model homes; Progress updates; Pre-sale visualization,NOT CONFIRMED | NOT CONFIRMED | Website/contact form | https://www.tridel.com/,NOT CONFIRMED,NOT CONFIRMED,NOT CONFIRMED,"Offer digital twins for model homes, sales centres and staged progress updates that help buyers and stakeholders understand the space.",86,70,New,"Initial SplatCap3D lead database. Qualification is based on spatial/digital-twin fit, not drone survey fit. Verify contacts before outreach.",2026-07-21
sc3d-the-daniels-corporation,The Daniels Corporation,Builder/Developer,Toronto,Ontario,Ontario,Model home tours; Construction progress capture; Pre-sale marketing; Site documentation,Home builders; Developers; Sales centres,https://danielshomes.ca/,"Builder/Developer account target where photorealistic 3D spaces could support model home tours, construction progress capture, pre-sale marketing.","SC3D fit is based on a visible, valuable or complex space that can benefit from hosted Gaussian-splat digital twins, remote walkthroughs, web embeds, annotations, measurement and repeat capture. Public category signals include model homes, progress updates, pre-sale visualization.",Model homes; Progress updates; Pre-sale visualization,NOT CONFIRMED | NOT CONFIRMED | Website/contact form | https://danielshomes.ca/,NOT CONFIRMED,NOT CONFIRMED,NOT CONFIRMED,"Offer digital twins for model homes, sales centres and staged progress updates that help buyers and stakeholders understand the space.",86,70,New,"Initial SplatCap3D lead database. Qualification is based on spatial/digital-twin fit, not drone survey fit. Verify contacts before outreach.",2026-07-21
sc3d-minto-communities,Minto Communities,Builder/Developer,Ottawa,Ontario,Ontario,Model home tours; Construction progress capture; Pre-sale marketing; Site documentation,Home builders; Developers; Sales centres,https://www.minto.com/,"Builder/Developer account target where photorealistic 3D spaces could support model home tours, construction progress capture, pre-sale marketing.","SC3D fit is based on a visible, valuable or complex space that can benefit from hosted Gaussian-splat digital twins, remote walkthroughs, web embeds, annotations, measurement and repeat capture. Public category signals include model homes, progress updates, pre-sale visualization.",Model homes; Progress updates; Pre-sale visualization,NOT CONFIRMED | NOT CONFIRMED | Website/contact form | https://www.minto.com/,NOT CONFIRMED,NOT CONFIRMED,NOT CONFIRMED,"Offer digital twins for model homes, sales centres and staged progress updates that help buyers and stakeholders understand the space.",86,70,New,"Initial SplatCap3D lead database. Qualification is based on spatial/digital-twin fit, not drone survey fit. Verify contacts before outreach.",2026-07-21
sc3d-great-gulf,Great Gulf,Builder/Developer,Toronto,Ontario,Ontario,Model home tours; Construction progress capture; Pre-sale marketing; Site documentation,Home builders; Developers; Sales centres,https://greatgulf.com/,"Builder/Developer account target where photorealistic 3D spaces could support model home tours, construction progress capture, pre-sale marketing.","SC3D fit is based on a visible, valuable or complex space that can benefit from hosted Gaussian-splat digital twins, remote walkthroughs, web embeds, annotations, measurement and repeat capture. Public category signals include model homes, progress updates, pre-sale visualization.",Model homes; Progress updates; Pre-sale visualization,NOT CONFIRMED | NOT CONFIRMED | Website/contact form | https://greatgulf.com/,NOT CONFIRMED,NOT CONFIRMED,NOT CONFIRMED,"Offer digital twins for model homes, sales centres and staged progress updates that help buyers and stakeholders understand the space.",86,70,New,"Initial SplatCap3D lead database. Qualification is based on spatial/digital-twin fit, not drone survey fit. Verify contacts before outreach.",2026-07-21
sc3d-empire-communities,Empire Communities,Builder/Developer,Vaughan,Ontario,Ontario,Model home tours; Construction progress capture; Pre-sale marketing; Site documentation,Home builders; Developers; Sales centres,https://www.empirecommunities.com/,"Builder/Developer account target where photorealistic 3D spaces could support model home tours, construction progress capture, pre-sale marketing.","SC3D fit is based on a visible, valuable or complex space that can benefit from hosted Gaussian-splat digital twins, remote walkthroughs, web embeds, annotations, measurement and repeat capture. Public category signals include model homes, progress updates, pre-sale visualization.",Model homes; Progress updates; Pre-sale visualization,NOT CONFIRMED | NOT CONFIRMED | Website/contact form | https://www.empirecommunities.com/,NOT CONFIRMED,NOT CONFIRMED,NOT CONFIRMED,"Offer digital twins for model homes, sales centres and staged progress updates that help buyers and stakeholders understand the space.",86,70,New,"Initial SplatCap3D lead database. Qualification is based on spatial/digital-twin fit, not drone survey fit. Verify contacts before outreach.",2026-07-21
sc3d-tribute-communities,Tribute Communities,Builder/Developer,Pickering,Ontario,Ontario,Model home tours; Construction progress capture; Pre-sale marketing; Site documentation,Home builders; Developers; Sales centres,https://www.tributecommunities.com/,"Builder/Developer account target where photorealistic 3D spaces could support model home tours, construction progress capture, pre-sale marketing.","SC3D fit is based on a visible, valuable or complex space that can benefit from hosted Gaussian-splat digital twins, remote walkthroughs, web embeds, annotations, measurement and repeat capture. Public category signals include model homes, progress updates, pre-sale visualization.",Model homes; Progress updates; Pre-sale visualization,NOT CONFIRMED | NOT CONFIRMED | Website/contact form | https://www.tributecommunities.com/,NOT CONFIRMED,NOT CONFIRMED,NOT CONFIRMED,"Offer digital twins for model homes, sales centres and staged progress updates that help buyers and stakeholders understand the space.",86,70,New,"Initial SplatCap3D lead database. Qualification is based on spatial/digital-twin fit, not drone survey fit. Verify contacts before outreach.",2026-07-21
sc3d-fusion-homes,Fusion Homes,Builder/Developer,Guelph,Ontario,Ontario,Model home tours; Construction progress capture; Pre-sale marketing; Site documentation,Home builders; Developers; Sales centres,https://www.fusionhomes.com/,"Builder/Developer account target where photorealistic 3D spaces could support model home tours, construction progress capture, pre-sale marketing.","SC3D fit is based on a visible, valuable or complex space that can benefit from hosted Gaussian-splat digital twins, remote walkthroughs, web embeds, annotations, measurement and repeat capture. Public category signals include model homes, progress updates, pre-sale visualization.",Model homes; Progress updates; Pre-sale visualization,NOT CONFIRMED | NOT CONFIRMED | Website/contact form | https://www.fusionhomes.com/,NOT CONFIRMED,NOT CONFIRMED,NOT CONFIRMED,"Offer digital twins for model homes, sales centres and staged progress updates that help buyers and stakeholders understand the space.",86,70,New,"Initial SplatCap3D lead database. Qualification is based on spatial/digital-twin fit, not drone survey fit. Verify contacts before outreach.",2026-07-21
sc3d-reid-s-heritage-homes,Reid's Heritage Homes,Builder/Developer,Cambridge,Ontario,Ontario,Model home tours; Construction progress capture; Pre-sale marketing; Site documentation,Home builders; Developers; Sales centres,https://www.reidsheritagehomes.com/,"Builder/Developer account target where photorealistic 3D spaces could support model home tours, construction progress capture, pre-sale marketing.","SC3D fit is based on a visible, valuable or complex space that can benefit from hosted Gaussian-splat digital twins, remote walkthroughs, web embeds, annotations, measurement and repeat capture. Public category signals include model homes, progress updates, pre-sale visualization.",Model homes; Progress updates; Pre-sale visualization,NOT CONFIRMED | NOT CONFIRMED | Website/contact form | https://www.reidsheritagehomes.com/,NOT CONFIRMED,NOT CONFIRMED,NOT CONFIRMED,"Offer digital twins for model homes, sales centres and staged progress updates that help buyers and stakeholders understand the space.",86,70,New,"Initial SplatCap3D lead database. Qualification is based on spatial/digital-twin fit, not drone survey fit. Verify contacts before outreach.",2026-07-21
sc3d-losani-homes,Losani Homes,Builder/Developer,Hamilton,Ontario,Ontario,Model home tours; Construction progress capture; Pre-sale marketing; Site documentation,Home builders; Developers; Sales centres,https://www.losanihomes.com/,"Builder/Developer account target where photorealistic 3D spaces could support model home tours, construction progress capture, pre-sale marketing.","SC3D fit is based on a visible, valuable or complex space that can benefit from hosted Gaussian-splat digital twins, remote walkthroughs, web embeds, annotations, measurement and repeat capture. Public category signals include model homes, progress updates, pre-sale visualization.",Model homes; Progress updates; Pre-sale visualization,NOT CONFIRMED | NOT CONFIRMED | Website/contact form | https://www.losanihomes.com/,NOT CONFIRMED,NOT CONFIRMED,NOT CONFIRMED,"Offer digital twins for model homes, sales centres and staged progress updates that help buyers and stakeholders understand the space.",86,70,New,"Initial SplatCap3D lead database. Qualification is based on spatial/digital-twin fit, not drone survey fit. Verify contacts before outreach.",2026-07-21
sc3d-oxford-properties,Oxford Properties,Commercial Property,Toronto,Ontario,Ontario,Leasing walkthroughs; Tenant improvement documentation; Building marketing; Remote stakeholder review,Landlords; Property managers; Leasing teams,https://www.oxfordproperties.com/,"Commercial Property account target where photorealistic 3D spaces could support leasing walkthroughs, tenant improvement documentation, building marketing.","SC3D fit is based on a visible, valuable or complex space that can benefit from hosted Gaussian-splat digital twins, remote walkthroughs, web embeds, annotations, measurement and repeat capture. Public category signals include leasing, remote stakeholder review, embeddable tours.",Leasing; Remote stakeholder review; Embeddable tours,NOT CONFIRMED | NOT CONFIRMED | Website/contact form | https://www.oxfordproperties.com/,NOT CONFIRMED,NOT CONFIRMED,NOT CONFIRMED,"Offer hosted digital twins for leasing, capital planning and remote stakeholder walkthroughs without repeated site visits.",87,70,New,"Initial SplatCap3D lead database. Qualification is based on spatial/digital-twin fit, not drone survey fit. Verify contacts before outreach.",2026-07-21
sc3d-cadillac-fairview,Cadillac Fairview,Commercial Property,Toronto,Ontario,Ontario,Leasing walkthroughs; Tenant improvement documentation; Building marketing; Remote stakeholder review,Landlords; Property managers; Leasing teams,https://www.cadillacfairview.com/,"Commercial Property account target where photorealistic 3D spaces could support leasing walkthroughs, tenant improvement documentation, building marketing.","SC3D fit is based on a visible, valuable or complex space that can benefit from hosted Gaussian-splat digital twins, remote walkthroughs, web embeds, annotations, measurement and repeat capture. Public category signals include leasing, remote stakeholder review, embeddable tours.",Leasing; Remote stakeholder review; Embeddable tours,NOT CONFIRMED | NOT CONFIRMED | Website/contact form | https://www.cadillacfairview.com/,NOT CONFIRMED,NOT CONFIRMED,NOT CONFIRMED,"Offer hosted digital twins for leasing, capital planning and remote stakeholder walkthroughs without repeated site visits.",87,70,New,"Initial SplatCap3D lead database. Qualification is based on spatial/digital-twin fit, not drone survey fit. Verify contacts before outreach.",2026-07-21
sc3d-riocan-reit,RioCan REIT,Commercial Property,Toronto,Ontario,Ontario,Leasing walkthroughs; Tenant improvement documentation; Building marketing; Remote stakeholder review,Landlords; Property managers; Leasing teams,https://www.riocan.com/,"Commercial Property account target where photorealistic 3D spaces could support leasing walkthroughs, tenant improvement documentation, building marketing.","SC3D fit is based on a visible, valuable or complex space that can benefit from hosted Gaussian-splat digital twins, remote walkthroughs, web embeds, annotations, measurement and repeat capture. Public category signals include leasing, remote stakeholder review, embeddable tours.",Leasing; Remote stakeholder review; Embeddable tours,NOT CONFIRMED | NOT CONFIRMED | Website/contact form | https://www.riocan.com/,NOT CONFIRMED,NOT CONFIRMED,NOT CONFIRMED,"Offer hosted digital twins for leasing, capital planning and remote stakeholder walkthroughs without repeated site visits.",87,70,New,"Initial SplatCap3D lead database. Qualification is based on spatial/digital-twin fit, not drone survey fit. Verify contacts before outreach.",2026-07-21
sc3d-choice-properties-reit,Choice Properties REIT,Commercial Property,Toronto,Ontario,Ontario,Leasing walkthroughs; Tenant improvement documentation; Building marketing; Remote stakeholder review,Landlords; Property managers; Leasing teams,https://www.choicereit.ca/,"Commercial Property account target where photorealistic 3D spaces could support leasing walkthroughs, tenant improvement documentation, building marketing.","SC3D fit is based on a visible, valuable or complex space that can benefit from hosted Gaussian-splat digital twins, remote walkthroughs, web embeds, annotations, measurement and repeat capture. Public category signals include leasing, remote stakeholder review, embeddable tours.",Leasing; Remote stakeholder review; Embeddable tours,NOT CONFIRMED | NOT CONFIRMED | Website/contact form | https://www.choicereit.ca/,NOT CONFIRMED,NOT CONFIRMED,NOT CONFIRMED,"Offer hosted digital twins for leasing, capital planning and remote stakeholder walkthroughs without repeated site visits.",87,70,New,"Initial SplatCap3D lead database. Qualification is based on spatial/digital-twin fit, not drone survey fit. Verify contacts before outreach.",2026-07-21
sc3d-smartcentres-reit,SmartCentres REIT,Commercial Property,Vaughan,Ontario,Ontario,Leasing walkthroughs; Tenant improvement documentation; Building marketing; Remote stakeholder review,Landlords; Property managers; Leasing teams,https://www.smartcentres.com/,"Commercial Property account target where photorealistic 3D spaces could support leasing walkthroughs, tenant improvement documentation, building marketing.","SC3D fit is based on a visible, valuable or complex space that can benefit from hosted Gaussian-splat digital twins, remote walkthroughs, web embeds, annotations, measurement and repeat capture. Public category signals include leasing, remote stakeholder review, embeddable tours.",Leasing; Remote stakeholder review; Embeddable tours,NOT CONFIRMED | NOT CONFIRMED | Website/contact form | https://www.smartcentres.com/,NOT CONFIRMED,NOT CONFIRMED,NOT CONFIRMED,"Offer hosted digital twins for leasing, capital planning and remote stakeholder walkthroughs without repeated site visits.",87,70,New,"Initial SplatCap3D lead database. Qualification is based on spatial/digital-twin fit, not drone survey fit. Verify contacts before outreach.",2026-07-21
sc3d-first-capital-reit,First Capital REIT,Commercial Property,Toronto,Ontario,Ontario,Leasing walkthroughs; Tenant improvement documentation; Building marketing; Remote stakeholder review,Landlords; Property managers; Leasing teams,https://fcr.ca/,"Commercial Property account target where photorealistic 3D spaces could support leasing walkthroughs, tenant improvement documentation, building marketing.","SC3D fit is based on a visible, valuable or complex space that can benefit from hosted Gaussian-splat digital twins, remote walkthroughs, web embeds, annotations, measurement and repeat capture. Public category signals include leasing, remote stakeholder review, embeddable tours.",Leasing; Remote stakeholder review; Embeddable tours,NOT CONFIRMED | NOT CONFIRMED | Website/contact form | https://fcr.ca/,NOT CONFIRMED,NOT CONFIRMED,NOT CONFIRMED,"Offer hosted digital twins for leasing, capital planning and remote stakeholder walkthroughs without repeated site visits.",87,70,New,"Initial SplatCap3D lead database. Qualification is based on spatial/digital-twin fit, not drone survey fit. Verify contacts before outreach.",2026-07-21
sc3d-allied-properties-reit,Allied Properties REIT,Commercial Property,Toronto,Ontario,Ontario,Leasing walkthroughs; Tenant improvement documentation; Building marketing; Remote stakeholder review,Landlords; Property managers; Leasing teams,https://www.alliedreit.com/,"Commercial Property account target where photorealistic 3D spaces could support leasing walkthroughs, tenant improvement documentation, building marketing.","SC3D fit is based on a visible, valuable or complex space that can benefit from hosted Gaussian-splat digital twins, remote walkthroughs, web embeds, annotations, measurement and repeat capture. Public category signals include leasing, remote stakeholder review, embeddable tours.",Leasing; Remote stakeholder review; Embeddable tours,NOT CONFIRMED | NOT CONFIRMED | Website/contact form | https://www.alliedreit.com/,NOT CONFIRMED,NOT CONFIRMED,NOT CONFIRMED,"Offer hosted digital twins for leasing, capital planning and remote stakeholder walkthroughs without repeated site visits.",87,70,New,"Initial SplatCap3D lead database. Qualification is based on spatial/digital-twin fit, not drone survey fit. Verify contacts before outreach.",2026-07-21
sc3d-gwl-realty-advisors,GWL Realty Advisors,Commercial Property,Toronto,Ontario,Ontario,Leasing walkthroughs; Tenant improvement documentation; Building marketing; Remote stakeholder review,Landlords; Property managers; Leasing teams,https://www.gwlrealtyadvisors.com/,"Commercial Property account target where photorealistic 3D spaces could support leasing walkthroughs, tenant improvement documentation, building marketing.","SC3D fit is based on a visible, valuable or complex space that can benefit from hosted Gaussian-splat digital twins, remote walkthroughs, web embeds, annotations, measurement and repeat capture. Public category signals include leasing, remote stakeholder review, embeddable tours.",Leasing; Remote stakeholder review; Embeddable tours,NOT CONFIRMED | NOT CONFIRMED | Website/contact form | https://www.gwlrealtyadvisors.com/,NOT CONFIRMED,NOT CONFIRMED,NOT CONFIRMED,"Offer hosted digital twins for leasing, capital planning and remote stakeholder walkthroughs without repeated site visits.",87,70,New,"Initial SplatCap3D lead database. Qualification is based on spatial/digital-twin fit, not drone survey fit. Verify contacts before outreach.",2026-07-21
sc3d-morguard,Morguard,Commercial Property,Mississauga,Ontario,Ontario,Leasing walkthroughs; Tenant improvement documentation; Building marketing; Remote stakeholder review,Landlords; Property managers; Leasing teams,https://www.morguard.com/,"Commercial Property account target where photorealistic 3D spaces could support leasing walkthroughs, tenant improvement documentation, building marketing.","SC3D fit is based on a visible, valuable or complex space that can benefit from hosted Gaussian-splat digital twins, remote walkthroughs, web embeds, annotations, measurement and repeat capture. Public category signals include leasing, remote stakeholder review, embeddable tours.",Leasing; Remote stakeholder review; Embeddable tours,NOT CONFIRMED | NOT CONFIRMED | Website/contact form | https://www.morguard.com/,NOT CONFIRMED,NOT CONFIRMED,NOT CONFIRMED,"Offer hosted digital twins for leasing, capital planning and remote stakeholder walkthroughs without repeated site visits.",87,70,New,"Initial SplatCap3D lead database. Qualification is based on spatial/digital-twin fit, not drone survey fit. Verify contacts before outreach.",2026-07-21
